# Program:featureCounts v2.0.3; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-p" "--ignoreDup" "-M" "--fraction" "-T" "16" "-G" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.fa" "-p" "--countReadPairs" "-a" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "./read_counts_v2/read_counts_table" "./dedup_v2/VM-1_S1_L001.sorted.dedup.bam" "./dedup_v2/VM-2_S2_L001.sorted.dedup.bam" "./dedup_v2/VM-3_S3_L001.sorted.dedup.bam" "./dedup_v2/VM-4_S4_L001.sorted.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	./dedup_v2/VM-1_S1_L001.sorted.dedup.bam	./dedup_v2/VM-2_S2_L001.sorted.dedup.bam	./dedup_v2/VM-3_S3_L001.sorted.dedup.bam	./dedup_v2/VM-4_S4_L001.sorted.dedup.bam
YOR244W	XV	792531	793868	+	1338	921	681	1209.50	977
YOL102C	XV	125997	126689	-	693	342	186.55	398.10	256
YOL060C	XV	214017	216137	-	2121	4093.67	4611	4253	6002.08
YOL041C	XV	251267	252646	-	1380	1960	849	2279.00	1229
YOL116W	XV	99809	100957	+	1149	656.52	537	756.53	761.63
YOR353C	XV	998453	1000828	-	2376	1966.20	1672.10	2359.50	2445.20
YOR299W	XV	878435	880675	+	2241	890	795.71	950.58	1196
YOR366W	XV	1025256	1025609	+	354	38	26	41	50
tD(GUC)O	XV	571958	572029	+	72	1	2	4.04	9
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	8111.67	4280.17	8557.44	5473.00
YOR148C	XV	608640	609197	-	558	136	74	171	108
YOR301W	XV	880965	882272	+	1308	637.50	722	732.75	957.12
YOR257W	XV	811008	811493	+	486	161	130.42	190.96	166
YOR135C	XV	580159	580500	-	342	1	1	2	0
YOR032W-A	XV	392176	392376	+	201	22	10	25.32	17
YOR223W	XV	759782	760660	+	879	189.75	179	156	225
YOR076C	XV	469377	471620	-	2244	1207	810	1490.50	1293
YOR231C-A	XV	773163	773363	-	201	3	4	0	0
YOR316C-A	XV	907726	907935	-	210	7	1	1	4
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	19.31	16.25	15.75	19.25
YOR061W	XV	441534	442553	+	1020	2934.60	1675.79	3649.33	2402.90
YOR025W	XV	378219	379562	+	1344	242.05	185.71	254.00	234.06
YOR371C	XV	1031489	1034182	-	2694	2070	1490.00	2377.33	2099.07
YOL140W	XV	58759	60030	+	1272	1862.50	901.50	1965.14	1258
YOL062C	XV	210520	211995	-	1476	1461	1225.50	1530	1605
YOR292C	XV	865653	866582	-	930	225	224	260.23	321
tG(UCC)O	XV	110962	111033	-	72	2.33	2.00	4.67	4.00
YOR027W	XV	381053	382822	+	1770	11575.55	7001	12566.17	9502.06
tT(AGU)O2	XV	354041	354113	-	73	0.75	1	1.83	1
YOR142W-B	XV	595112	600380	+	5269	42607.85	20473.79	53146.52	32016.71
YOR192C-A	XV	708416	709732	-	1317	5962.46	5011.45	8693.57	8129.93
YOL103W-B	XV	118000	123268	+	5269	87736.27	61192.75	120051.06	98318.21
YOR142W-A	XV	595112	596434	+	1323	2640.01	1291.27	3409.40	2159.05
YOR192C-B	XV	704419	709732	-	5314	39508.62	34954.19	55608.22	56686.79
YOR343W-B	XV	970578	975891	+	5314	24482.50	24252.46	33833.46	39088.41
YOR343W-A	XV	970578	971894	+	1317	4332.55	4090.39	6375.24	6608.76
YOL103W-A	XV	118000	119322	+	1323	4462.39	3112.18	5131.18	4429.28
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	1517	1515	1698	2050.50
YGL156W	VII	210416	213667	+	3252	1122.21	3741.58	1404.08	5313.33
YGL015C	VII	465043	465435	-	393	38.21	29.28	42.50	37
RME2	VII	141898	144120	-	2223	1894.50	444	2009.50	513
YGR251W	VII	995639	996229	+	591	277	108	358	171
YGR162W	VII	824059	826917	+	2859	12772.92	5832	13769.74	8252.25
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	16.25	16	10	10
YGR005C	VII	504657	505859	-	1203	688.25	387.50	765.75	483.25
YGL160W	VII	200561	202273	+	1713	1990.75	1223.29	2162.29	1805
snR46	VII	545370	545566	+	197	2624.67	1814.75	2396.17	2060.75
tD(GUC)G1	VII	531610	531681	+	72	2	1	2	7
YGL211W	VII	92512	93591	+	1080	610.50	334.17	673.17	443.33
YGR141W	VII	770569	771972	+	1404	423	397.10	384.25	554.64
YGL239C	VII	49431	49745	-	315	0	0	0.17	0
YGL097W	VII	321782	323230	+	1449	1141.58	595.75	1279.50	822.18
YGR030C	VII	545681	546157	-	477	764.25	530	1064	730
YGR224W	VII	942806	944647	+	1842	3.50	1.11	5.37	3.25
YGR142W	VII	772454	773686	+	1233	446	689	541.35	832
YGR186W	VII	867774	869981	+	2208	1896.17	1068.50	2076.88	1469.92
YGR181W	VII	858287	858604	+	318	672.50	333	748.25	463
YGL081W	VII	357377	358339	+	963	136.14	85.50	148.33	127.50
YGR082W	VII	644044	644595	+	552	2383.50	846.20	2267.50	1127
YGL028C	VII	441281	442909	-	1629	909.71	8503.08	1033.33	11798.92
YGL021W	VII	454785	457067	+	2283	686.71	976.77	790.75	1531.75
YGL110C	VII	301537	303411	-	1875	743	418.12	837.25	659.88
YGR167W	VII	832456	833157	+	702	1335	873	1277.50	1142.50
YGL017W	VII	459854	461365	+	1512	345.28	174	396.50	287
tA(UGC)G	VII	794417	794489	+	73	0	0	0	0
YGR156W	VII	800546	801823	+	1278	1484.14	1197.56	1670.43	1503.97
YGR291C	VII	1076283	1076504	-	222	4	1	4.50	0
YGR197C	VII	892497	894140	-	1644	674.15	426.09	644.05	596.14
YGR041W	VII	577487	579130	+	1644	205.30	124.12	256	133.67
YGL079W	VII	359444	360100	+	657	747.50	540	957.67	765.50
YGL107C	VII	304333	306273	-	1941	1999	884	2363.43	1423.08
YGL168W	VII	187464	187796	+	333	11.25	2	7.83	10.31
YGL228W	VII	67598	69331	+	1734	2576.86	2951.92	3132.09	4077.96
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	1903	1399.50	2090.72	1761.50
YGL050W	VII	405776	406597	+	822	695.25	615	822.08	996.06
YGR273C	VII	1038715	1039239	-	525	1.12	0.50	0.50	1.25
YGR086C	VII	649598	650617	-	1020	5000.70	4463.75	5290	6040.17
YGR228W	VII	949365	949709	+	345	1	1	0	0
YGL145W	VII	230243	232348	+	2106	1720.17	1391.00	2163.75	1949.88
YGR098C	VII	682566	687458	-	4893	1849.98	1341.85	2184.86	1890.78
YGR074W	VII	635712	636152	+	441	648	496	774	769.33
YGL098W	VII	317342	318079	+	738	488	382.12	633	566
snR7-S	VII	939494	939672	-	179	948.25	662.83	913.33	806.08
YGL096W	VII	325331	326161	+	831	148.50	133.50	162.50	170.20
YGR240C-A	VII	974577	974777	-	201	58	53.50	70.17	77.13
YGR172C	VII	842845	843591	-	747	738.25	399.50	668.17	512.33
YGR194C	VII	886073	887875	-	1803	489.32	561.75	539.00	855.44
YGL026C	VII	446412	448535	-	2124	6647.83	4789.50	6433.42	6132.06
YGL213C	VII	90054	91247	-	1194	1056.83	679	1186	956.50
YGL248W	VII	35653	36762	+	1110	1327.12	2387.25	1619.08	3421.67
YGL075C	VII	366925	368088	-	1164	96.50	46.11	78.25	67.08
YGL256W	VII	15159	16307	+	1149	1469	808.89	1584.89	1121.62
YGL012W	VII	472855	474276	+	1422	4252.75	2139.75	4512.12	3003.18
YGL082W	VII	355827	356972	+	1146	1231.17	1286.62	1548.40	1863.23
YGR161C	VII	808629	809420	-	792	1732.33	4661.70	1921.26	6049.57
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	18.17	6.33	13.50	6.00
YGR274C	VII	1039895	1043095	-	3201	1831.39	1173	2049.03	1796.47
YGR031C-A	VII	546809	547300	-	492	1.83	10	4	7
YGL037C	VII	427297	427947	-	651	4137	4825.50	4714.08	6617.92
YGL252C	VII	25718	27484	-	1767	1250.25	815.50	1335	1215.75
YGL250W	VII	31910	32635	+	726	72	94	67	155.50
YGR260W	VII	1012485	1014089	+	1605	3520.25	1869.50	3535.50	2643.75
YGR159C	VII	806412	807656	-	1245	6767.21	2700.25	7209.67	3765.86
YGR006W	VII	506070	506825	+	756	373.04	268.67	454.75	434.62
YGL121C	VII	280777	281157	-	381	428	453	548	598
YGL040C	VII	419527	420555	-	1029	1484.75	803.50	1545.58	1067
YGR130C	VII	751394	753844	-	2451	3518.76	3716.50	4022.64	5148.40
YGR021W	VII	527632	528504	+	873	806.50	383.25	1023	608.61
YGR097W	VII	678695	682135	+	3441	7227.25	7785.57	7774.33	10338.87
YGL170C	VII	184153	185394	-	1242	4.25	5	7.17	8.25
YGL166W	VII	191129	191806	+	678	218.04	217	209	311.83
YGL104C	VII	308713	310173	-	1461	430.50	398	376	506.08
YGR149W	VII	789031	790329	+	1299	883.67	2569.03	859.06	3415.17
YGR195W	VII	888882	889622	+	741	1001.50	481.50	1235.25	721.83
tG(GCC)G2	VII	930953	931023	-	71	2	1	2	0
YGR250C	VII	991176	993521	-	2346	4456.20	2758	5343.91	4247.17
YGL155W	VII	214081	215211	+	1131	1023	668	1118.25	939
YGL216W	VII	84885	87302	+	2418	1347.10	1127.52	1576.21	1545.12
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	695	326.75	754.60	401
YGL125W	VII	272520	274322	+	1803	2411	2589.25	2536.17	3372.77
YGR038W	VII	560682	561350	+	669	1341.12	731.66	1351.08	1035.33
YGR008C	VII	508110	508364	-	255	211	217	253	283
YGR248W	VII	985972	986739	+	768	270	147.05	256	217.50
YGL094C	VII	331118	334465	-	3348	2355.42	2028.42	2657.36	2908
YGR131W	VII	754726	755250	+	525	52	45	62.17	46
YGR163W	VII	827552	828577	+	1026	420.25	274	440.58	431.60
YGR125W	VII	742325	745435	+	3111	3189	2275.50	3323.57	3220.99
YGR279C	VII	1048798	1049958	-	1161	32285.00	4733.50	32501.94	6387.50
YGL022W	VII	452404	454560	+	2157	8927.42	7090.57	8821.25	9100.32
tD(GUC)G2	VII	544577	544648	-	72	14.25	8	9	8
YGR271W	VII	1031791	1037694	+	5904	5380.42	3894.58	6143.28	5487.50
YGL025C	VII	448764	449957	-	1194	1134.55	664	1254.60	1044.98
YGL176C	VII	171415	173079	-	1665	642.12	480.25	698	707.50
YGR031W	VII	546441	547469	+	1029	517.12	348.25	562.37	456.46
YGL102C	VII	311505	311933	-	429	7	1	3	2
YGR182C	VII	858551	858904	-	354	453.50	264	544	443.25
YGR025W	VII	532639	532941	+	303	145	68.50	135.33	115
YGL113W	VII	295932	297938	+	2007	1376.01	903	1698.61	1302.06
YGR188C	VII	872044	875109	-	3066	596.95	499.06	626.89	623.62
YGL162W	VII	198138	199037	+	900	1528.50	1135	1625.50	1377.50
YGL084C	VII	350616	352298	-	1683	2999.58	2404	3310.33	3245.50
snR10	VII	345986	346230	+	245	145.50	89	174	111.81
YGL196W	VII	129883	131169	+	1287	1766.17	1208.75	1995.25	1693.17
RME3	VII	33109	35013	-	1905	326.58	275	393	442.75
YGR230W	VII	951894	952307	+	414	432	342	566	476
YGR084C	VII	647123	648142	-	1020	950	461	1100.31	615.31
YGL222C	VII	80659	81186	-	528	1100	779.75	1251	1074
YGR166W	VII	830515	832197	+	1683	1557.75	1982.50	1774.67	2804.85
YGR122C-A	VII	735630	735758	-	129	370.43	1565.03	434	2014.73
YGR152C	VII	794674	795492	-	819	179.67	156.68	240.90	233.52
YGL210W	VII	93792	94460	+	669	523	393.33	742.00	571
YGR265W	VII	1021648	1022058	+	411	3	0	0	2
YGR157W	VII	802440	805049	+	2610	10724.73	5213.63	11115.56	7177.96
YGL240W	VII	48613	49365	+	753	294.50	119	286	153.50
YGR085C	VII	648383	648907	-	525	10028.25	4608.11	11604.17	6461.00
YGR237C	VII	963298	965655	-	2358	1448.25	1007.33	1652.33	1422.33
YGL146C	VII	228751	229686	-	936	13	13.17	16	14.08
YGL153W	VII	216273	217298	+	1026	387	330.25	465	424.83
YGR075C	VII	636147	636875	-	729	122	47	153	82.57
tT(UGU)G2	VII	1004216	1004287	+	72	28.33	18.33	25.67	12.67
YGL169W	VII	186059	187339	+	1281	1598	716	1792	1057.50
YGR187C	VII	870232	871416	-	1185	1184.32	554.17	1367.58	856.30
YGL167C	VII	187616	190468	-	2853	7364.25	6070	7672.80	8163.58
YGR050C	VII	592086	592442	-	357	92	67	114.25	103
YGR035W-A	VII	557565	557786	+	222	0	0	3	4
YGR217W	VII	924696	930815	+	6120	3191.12	2348.31	3224.68	3307.58
YGR068C	VII	625324	627084	-	1761	997.88	578.22	1015.45	750.73
YGR296W	VII;VII	1084864;1085031	1084882;1090591	+;+	5580	486.67	540.49	493.85	762.48
YGR177C	VII	848829	850436	-	1608	1391.50	252	1597.50	340.31
YGL068W	VII	375087	375671	+	585	2111.50	959.25	2664.25	1276.85
tN(GUU)G	VII	731137	731210	+	74	1.43	2	3.10	3.37
YGL018C	VII	459110	459664	-	555	347	203	429.17	299
YGL188C	VII	149343	149516	-	174	175	67.57	175	125.50
YGR126W	VII	745835	746527	+	693	371	269.50	386	328.47
YGL065C	VII	379760	381271	-	1512	1197.68	871.75	1322.35	1322.25
YGL014W	VII	466141	468807	+	2667	9229.67	5325.92	9946.24	6925.78
YGL100W	VII	313234	314283	+	1050	1940.33	1050.14	2005.25	1521.58
YGR288W	VII	1070293	1071714	+	1422	225	226.08	262	313.00
YGL174W	VII	174545	175345	+	801	333.50	184	442.33	291
YGR211W	VII	915241	916701	+	1461	4344.98	2270	4786.00	3163.50
YGL204C	VII	111700	112005	-	306	493.13	390.30	536.52	472.13
YGR270W	VII	1027370	1031509	+	4140	4039.04	2786.12	4442.62	4020.33
YGR204W	VII	905934	908774	+	2841	12567.07	8113.83	11880.08	9826.35
YGR266W	VII	1022656	1024761	+	2106	2127.50	1456.25	2502.17	2097
YGL070C	VII	374459	374827	-	369	444	216	582	353
YGL225W	VII	76894	77907	+	1014	2720.04	1867.17	2782.38	2745.71
YGL120C	VII	281634	283937	-	2304	5913	2252	6540.25	3438
tE(UUC)G1	VII	328583	328654	+	72	1	0	3.96	1
YGR252W	VII	996869	998188	+	1320	500.33	352.11	521.73	555.58
YGL106W	VII	306560	307009	+	450	1387	1098.50	1597.33	1528.83
YGR284C	VII	1060658	1061590	-	933	3623.50	2562.50	3413	3392
YGR032W	VII	548264	553951	+	5688	5802.81	38936.20	6581.85	49934.27
YGR174C	VII	845893	846405	-	513	205	88	203	122
YGR208W	VII	911883	912812	+	930	922	493	949.33	645.44
YGL016W	VII	461666	464911	+	3246	5690.67	2518.88	6252.48	3670.79
YGR255C	VII	1002523	1003962	-	1440	2502.05	2164.55	2801.23	2970.93
YGR146C-A	VII	785276	785437	-	162	40.17	33.17	25	46
YGL194C	VII	140368	141726	-	1359	865.17	640.83	949.75	983.33
YGL138C	VII	248494	249531	-	1038	5	3	5	8.50
YGR091W	VII	666341	667825	+	1485	856.08	518.07	908	762.76
YGR200C	VII	899904	902270	-	2367	2407.90	965	2744.42	1461.34
YGR191W	VII	880420	882231	+	1812	3382	1547.92	3716.45	2172
YGR270C-A	VII	1027382	1027600	-	219	0	2	0	1
YGL227W	VII	69671	72547	+	2877	727.42	957.54	857.78	1417.54
YGR081C	VII	643148	643780	-	633	644.80	293.32	894.50	476.33
YGL243W	VII	43307	44509	+	1203	499.42	242	618.50	383.25
YGL194C-A	VII	139719	139961	-	243	366	769	399	1117.07
YGR148C	VII	787312	787779	-	468	4354.86	1768.83	4878.62	2457.83
YGL136C	VII	252897	253859	-	963	211	150	224	197.50
YGR276C	VII	1043819	1045480	-	1662	890	446.50	1066.04	696.50
YGL129C	VII	267723	269075	-	1353	2197.50	962.25	2664	1399
tR(UCU)G2	VII	828723	828794	-	72	90	77.50	102.50	73
YGR053C	VII	594986	595837	-	852	52.71	55	60.25	86.60
YGR069W	VII	627083	627418	+	336	25.50	13.83	23.17	26.83
YGL224C	VII	78015	78857	-	843	896.10	394	1055	645
YGL193C	VII	141916	142227	-	312	242.50	57	257.50	51
YGL020C	VII	457163	457870	-	708	629.50	321	685	427
YGL177W	VII	167559	167906	+	348	480.04	452.88	579.88	634.75
YGL189C	VII	148229	148588	-	360	12295.25	7869.83	13116.17	9741.67
YGR122W	VII	733935	735143	+	1209	715	606.25	892	854
YGL003C	VII	492474	494174	-	1701	940.10	590	950.50	847.75
YGR210C	VII	913503	914738	-	1236	1395	672	1492.50	894.25
tG(GCC)G1	VII	845649	845719	+	71	3	97	1	168
YGR079W	VII	640720	641832	+	1113	1710.12	1183.45	1972	1790.50
YGL115W	VII	292033	293001	+	969	2001.35	1026.50	2589.75	1456.50
YGL105W	VII	307437	308567	+	1131	9576	5475.81	10143.58	7365.14
YGR026W	VII	532985	533821	+	837	2124	1368.00	2247.81	1879.87
YGR087C	VII	651290	652981	-	1692	47.85	69	40.33	103.06
YGR278W	VII	1046731	1048464	+	1734	657	532.42	755.58	746.43
YGR042W	VII	579476	580291	+	816	300.11	174.50	312.33	279.33
YGR043C	VII	580435	581436	-	1002	233.48	1416.10	297.03	2098.57
YGL165C	VII	191398	191976	-	579	35.50	37.25	46.50	33.50
YGR110W	VII	713709	715046	+	1338	293	625.86	313.17	846.57
YGR089W	VII	656960	659770	+	2811	2797.75	1701.50	3171.17	2453.94
YGL158W	VII	207033	208571	+	1539	19.25	35	28	36
YGR262C	VII	1016974	1017759	-	786	1036.67	570.83	1202.58	838.89
YGL200C	VII	122694	123305	-	612	2158.88	1324.56	2192.75	1773.33
YGL117W	VII	288512	289309	+	798	988.50	1122	1083	1614.12
YGL186C	VII	151037	152776	-	1740	1149	478.75	1152.58	597
YGR010W	VII	511545	512732	+	1188	643.11	416.50	776.50	619.78
YGR198W	VII	894693	897146	+	2454	1790.39	1202.21	1943.15	1796.94
YGR137W	VII	762888	763262	+	375	1254.50	1610.67	1477.76	2085.58
YGL058W	VII	393986	394504	+	519	2151.67	1683.67	2589.46	2377.93
YGL226W	VII	73340	73711	+	372	124	62	127.50	106.33
YGL055W	VII	398628	400160	+	1533	13586.48	6592.08	14570.81	8830.58
YGL184C	VII	154615	156012	-	1398	389.28	921.75	300	1270.50
YGL024W	VII	449788	450123	+	336	1	0	3	5
tV(AAC)G3	VII	73829	73902	-	74	5.20	4	6.57	11
YGL151W	VII	217524	220922	+	3399	4270.83	3025.58	5035.08	4234.57
YGR101W	VII	693363	694403	+	1041	615	394.33	590.50	565.17
YGL230C	VII	63772	64215	-	444	39	86	49	151
YGR103W	VII	695417	697234	+	1818	4662.56	1724.25	5682.75	2361.02
YGR096W	VII	676621	677565	+	945	524.98	293.12	495.24	359.80
YGR112W	VII	717358	718527	+	1170	577	286.83	603.67	486.79
tI(AAU)G	VII	739122	739195	+	74	7	6	7	8
YGL013C	VII	469092	472298	-	3207	3647.11	2652.50	4049.58	3906.67
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	8361.05	4226.93	9161.38	5738.23
YGR067C	VII	622372	624786	-	2415	472.75	281.83	524.20	419.62
YGR094W	VII	672186	675500	+	3315	18944.50	8930.23	20089.74	12225.92
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	1519	1006	1702.33	1301.17
YGR045C	VII	583934	584296	-	363	15.50	17.50	16.50	30.10
YGR175C	VII	846933	848423	-	1491	7155.83	5202.50	7322.22	7168.14
YGL008C	VII	479910	482666	-	2757	59461.92	18103.53	57375.36	23280.67
YGR115C	VII	720372	721151	-	780	1.67	2.17	1.67	0.50
YGR108W	VII	703636	705051	+	1416	65	20.61	89.47	28.75
YGR218W	VII	932541	935795	+	3255	10378.33	6115.33	11613.96	8627.50
YGR205W	VII	909213	910085	+	873	264.40	173.22	315.43	272.42
YGL073W	VII	368753	371254	+	2502	3170.58	2605.11	3739.38	3669.42
YGL009C	VII	476313	478652	-	2340	5473.81	3508.56	5795	4849.99
YGL095C	VII	328874	330607	-	1734	1573.64	1173	1950.25	1684.08
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	5760.62	3528.42	5976.17	4791.92
YGL214W	VII	90010	90495	+	486	13.50	6	4	4
YGR105W	VII	698599	698832	+	234	291	174.36	324.33	237
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	1823.50	1144.92	2026.33	1606.67
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	16.73	10.33	21.17	10.33
YGL217C	VII	84839	85180	-	342	9	2	3	6
YGL173C	VII	175527	180113	-	4587	15062.50	8429.38	15383.33	11363.17
YGL086W	VII	347119	349368	+	2250	1273.90	646.75	1629.86	964.08
YGR223C	VII	940869	942215	-	1347	644.79	678.50	830.58	1088.59
tS(AGA)G	VII	561662	561743	-	82	1	0.32	2.30	3.20
YGR077C	VII	637744	639513	-	1770	2762.28	2227.06	2826.18	2956.81
YGL052W	VII	403437	403742	+	306	77.25	681.33	84	137.25
YGR285C	VII	1061852	1063153	-	1302	6232.92	2824.46	6158.50	3929.08
YGL080W	VII	358636	359028	+	393	1056	1075.17	1423	1501.14
YGL207W	VII	98969	102076	+	3108	7006.21	4132.79	7155.35	5692.71
YGR261C	VII	1014321	1016750	-	2430	3325.24	5383.62	3958.17	7682.10
YGR226C	VII	946792	947001	-	210	1.50	0.05	0	0
YGL140C	VII	241353	245012	-	3660	5060.45	3987	5469.75	5334.31
YGL078C	VII	360288	361859	-	1572	3137.50	1318.25	3978.16	1918.93
YGL199C	VII	123572	124042	-	471	29	25	23	33
YGR164W	VII	828625	828960	+	336	1	0	2.50	2
YGR150C	VII	790459	793053	-	2595	1708.50	684.76	2043.72	1039.65
YGL006W-A	VII	485423	485533	+	111	143.67	118.25	166.75	176
YGR196C	VII	889733	892186	-	2454	732.03	548.44	903.03	744.47
YGL197W	VII	124698	129161	+	4464	5048.57	4395.55	5285.48	6144.48
YGR136W	VII	762428	763153	+	726	2477.50	3108.78	2820.76	4048.08
YGR153W	VII	796092	796745	+	654	24	44.12	28.15	60
YGL159W	VII	202721	203833	+	1113	585.29	343.38	754	575.88
YGR286C	VII	1063813	1064940	-	1128	1382.50	445.17	1763.03	578
YGL254W	VII	22304	23203	+	900	609.48	400	696.25	577
tH(GUG)G1	VII	110625	110696	-	72	1	1	0	0
YGR023W	VII	529264	530919	+	1656	3589.38	3396.89	4080.26	4713.99
snR48	VII	609584	609696	+	113	52	18	53	39
YGL063W	VII	383654	384766	+	1113	383	229	397	267.08
YGL154C	VII	215278	216096	-	819	273	245.08	310.10	287
YGL035C	VII	431548	433062	-	1515	1070.50	715.38	1205.25	1066.25
YGR009C	VII	509047	511002	-	1956	1573	1123	1873.50	1622.50
YGR034W	VII;VII	555812;556308	555830;556672	+;+	384	5413	2475.92	6111.50	3350.17
YGL064C	VII	381523	383208	-	1686	991.27	410.07	1215.07	631
YGR118W	VII;VII	726974;727358	727038;727730	+;+	438	4067	2009.50	4429	2774.17
YGR277C	VII	1045644	1046561	-	918	441	363	603.42	523
YGR232W	VII	953960	954646	+	687	692.50	389.33	773.75	620
YGR227W	VII	947420	948997	+	1578	3273.50	1915.02	3493.73	2589.66
YGL142C	VII	236269	238119	-	1851	1798	1225.75	1855.69	1653.08
YGL143C	VII	234717	235958	-	1242	844.14	367	1037	575
YGR222W	VII	939923	940804	+	882	469	400	645.25	553
YGL045W	VII	414102	415730	+	1629	654.25	509.35	830.20	753.94
YGL253W	VII	23935	25395	+	1461	19504.75	16476.92	20723.58	21105.37
YGR257C	VII	1006205	1007305	-	1101	777.50	432	733.10	551.08
YGL131C	VII	261648	265859	-	4212	1869.62	1412.25	2213.29	2009.50
YGR064W	VII	617621	617989	+	369	53.17	30.08	53	53.19
YGR263C	VII	1017967	1019241	-	1275	677	459.50	721.21	624.93
YGL049C	VII	406860	409604	-	2745	4670.95	2984.67	5733.58	4382.79
YGR296C-B	VII	1089746	1090228	-	483	4.01	2.18	3.76	4.44
YGL202W	VII	116059	117561	+	1503	13089.60	7582.83	11834.98	9206.58
YGL258W-A	VII	9162	9395	+	234	24.12	28	19.25	48
YGR133W	VII	756896	757447	+	552	195	123	205	184
YGR109C	VII	705359	706501	-	1143	214.56	27.50	273.74	38.61
YGR037C	VII	559731	559994	-	264	4493	4919.50	5241.10	6459.11
YGL077C	VII	362225	363916	-	1692	3107.58	1857.33	3161.29	2602.58
YGR111W	VII	715828	717030	+	1203	993.22	652	1153.17	939.72
YGR016W	VII	522261	522833	+	573	103.67	76.58	140.75	122.50
YGR245C	VII	979765	982068	-	2304	2532.32	811.33	3034.17	1241.08
YGR287C	VII	1067222	1068991	-	1770	358.12	260.25	361.23	366.50
YGL244W	VII	41498	43174	+	1677	735.60	383.27	798.50	527
YGL057C	VII	394966	395829	-	864	455	349	464	561.08
YGL187C	VII	149704	150171	-	468	2597.50	1682.25	2922.17	2297.00
YGR180C	VII	855264	856301	-	1038	8150.06	6251.67	9426.29	8660.42
YGR116W	VII	720409	724764	+	4356	9192.54	5746.87	10316.80	8078.54
YGL181W	VII	157906	159096	+	1191	536	411	489.17	575.17
YGR202C	VII	903474	904748	-	1275	1337.66	697.67	1446	1032.38
YGL127C	VII	270392	270775	-	384	928	1114	1046.20	1418.50
YGR203W	VII	905237	905683	+	447	456.12	203	393.33	250.85
YGL150C	VII	221104	225573	-	4470	6110.06	3647.48	6427.07	5140.50
YGR134W	VII	757770	761138	+	3369	1720.42	971.53	1856.65	1336.60
YGR095C	VII	675671	676342	-	672	977.35	549.25	1188.38	755
YGR214W	VII;VII	920575;921120	920664;921788	+;+	759	12057.92	6667.58	13356.66	8535.11
YGR269W	VII	1026636	1026962	+	327	47	34	49	61
YGR176W	VII	848720	849067	+	348	11	15	13	13.25
YGL263W	VII	2790	3932	+	1143	396	203.58	518.12	333
YGR057C	VII	604773	605501	-	729	319	305	368.75	453.25
YGL074C	VII	368596	368922	-	327	0	3	2	3
YGR007W	VII	506969	507940	+	972	1372.17	1013.25	1536.38	1435.25
YGR241C	VII	974875	976581	-	1707	2989.25	3221.00	3591.32	4496.25
YGR127W	VII	746798	747736	+	939	1254.41	1185.50	1386.25	1708
YGL219C	VII	82878	84257	-	1380	1949	1472	2223.17	2094.50
YGL061C	VII	388968	389711	-	744	197	162	311.10	237.60
YGR083C	VII	644860	646815	-	1956	3759.95	1916.58	4336.73	2836.83
YGL038C	VII	425362	426804	-	1443	2611.58	1510	2887.43	2150
YGL047W	VII	411552	412160	+	609	148	146.17	137.17	193
YGR244C	VII	978036	979319	-	1284	3376.25	2681.67	3708.67	3674.36
YGR289C	VII	1073963	1075813	-	1851	88.58	55.29	82.50	69.97
YGL089C	VII	344791	345153	-	363	165	138	228	195
YGL180W	VII	160065	162758	+	2694	1060.21	1224.12	1064	1667.25
YGR146C	VII	784223	784858	-	636	4161.60	3490.80	5048.23	4790.18
YGL149W	VII	225572	225877	+	306	4	1	1	5
YGL242C	VII	44652	45197	-	546	585	610	755.50	852.75
YGR106C	VII	698989	699786	-	798	3010.50	1356.50	3238.67	1822.25
YGR004W	VII	502938	504326	+	1389	641.46	376.07	744.50	611.12
YGR209C	VII	912913	913227	-	315	2276.75	1735.75	2441.00	2356.33
YGR052W	VII	593596	594705	+	1110	344.33	319.25	470.88	540.14
YGR158C	VII	805269	806021	-	753	424.35	201	467.75	278
YGR003W	VII	500132	502366	+	2235	933.05	538.50	948.30	777.08
YGR219W	VII	936035	936376	+	342	0.07	0	2	2
YGL247W	VII	36933	37526	+	594	282	177	371	280.50
YGR170W	VII	837142	840558	+	3417	3035.23	2070.37	3242.75	2860.83
YGR246C	VII	982482	984272	-	1791	907.75	526	1093.71	754.50
